bl_part_id,boid,bk_part_id,item_type,brikick_name,api_item_type,bk_part_key,bl_color_id,bo_color_id,bk_color_id,weight,bk_img_url
64699pb05,,,P,,,,0,,0,103.0,
64699pb06,,,P,,,,0,,0,103.0,
64699pb07,,,P,,,,0,,0,103.0,
64699pb08,,,P,,,,0,,0,103.0,
64699pb09,,,P,,,,0,,0,103.0,
64699pb10,,,P,,,,0,,0,103.0,
6469a,412762,,P,,,,3,93,177,6.7,
6469a,412762-39,,P,,,,7,39,6,6.7,
6469a,412762-101,,P,,,,15,101,152,6.7,
6469a,412762-50,,P,,,,85,50,25,6.7,
646a,,,P,,,,0,,0,0.0,
646ac01,,,P,,,,0,,0,3.13,
646b,,,P,,,,0,,0,2.9,
646bc01,,,P,,,,0,,0,3.0,
646c,,,P,,,,0,,0,0.0,
646glass,,,P,,,,0,,0,0.86,
64700,,,P,,,,0,,0,27.5,
6470c01,45488-39,,P,,,,7,39,6,4.0,
6471,322484-93,,P,,,,3,93,177,5.15,
6471,322484-81,,P,,,,5,81,116,5.15,
6471,322484-39,,P,,,,7,39,6,5.15,
6471,322484,,P,,,,31,7,87,5.15,
6471,322484-14,,P,,,,42,14,78,5.15,
6471,322484-17,,P,,,,47,17,31,5.15,
6471,322484-122,,P,,,,66,122,109,5.15,
6471,322484-42,,P,,,,105,42,9,5.15,
6471,322484-43,,P,,,,110,43,10,5.15,
64711,643832-80,,P,,,,4,80,102,12.25,
64711,643832-38,,P,,,,11,38,5,12.25,
64711,643832-119,,P,,,,77,119,104,12.25,
64711,643832-50,,P,,,,85,50,25,12.25,
64712,529754-80,,P,,,,4,80,102,14.6,
64712,529754-81,,P,,,,5,81,116,14.6,
64712,529754-38,,P,,,,11,38,5,14.6,
64712,529754-119,,P,,,,77,119,104,14.6,
64712,529754-50,,P,,,,85,50,25,14.6,
64712,529754-117,,P,,,,95,117,44,14.6,
64712,529754-43,,P,,,,110,43,10,14.6,
64712,529754-120,,P,,,,115,120,106,14.6,
64712,529754-79,,P,,,,155,79,101,14.6,
64713,494504-89,,P,,,,2,89,143,6.0,
64713,494504-93,,P,,,,3,93,177,6.0,
64713,494504-80,,P,,,,4,80,102,6.0,
64713,494504-39,,P,,,,7,39,6,6.0,
64713,494504-64,,P,,,,86,64,59,6.0,
64713,494504-117,,P,,,,95,117,44,6.0,
64713,494504-120,,P,,,,115,120,106,6.0,
6472,338516-93,,P,,,,3,93,177,16.0,
6472,338516-81,,P,,,,5,81,116,16.0,
6472,338516-17,,P,,,,47,17,31,16.0,
6472,338516-72,,P,,,,71,72,75,16.0,
6472098,,,P,,,,0,,0,2.19,
6472677,,,P,,,,0,,0,2.24,
64727,23075-92,,P,,,,1,92,176,0.2,
64727,23075-89,,P,,,,2,89,143,0.2,
64727,23075-93,,P,,,,3,93,177,0.2,
64727,23075-80,,P,,,,4,80,102,0.2,
64727,23075-81,,P,,,,5,81,116,0.2,
64727,23075-61,,P,,,,6,61,54,0.2,
64727,23075-39,,P,,,,7,39,6,0.2,
64727,23075-38,,P,,,,11,38,5,0.2,
64727,23075-70,,P,,,,34,70,73,0.2,
64727,23075-48,,P,,,,63,48,24,0.2,
64727,23075-64,,P,,,,86,64,59,0.2,
64727,23075-55,,P,,,,89,55,84,0.2,
64727,23075-43,,P,,,,110,43,10,0.2,
64727,23075-120,,P,,,,115,120,106,0.2,
64727,23075-74,,P,,,,150,74,79,0.2,
64727,23075-47,,P,,,,153,47,23,0.2,
64727,23075-73,,P,,,,156,73,77,0.2,
64728,90800-81,,P,,,,5,81,116,0.5,
6472pb01,478212-81,,P,,,,5,81,116,16.0,
6472stk01,,,P,,,,0,,0,0.0,
6473,638473-81,,P,,,,5,81,116,24.0,
6473,638473-70,,P,,,,34,70,73,24.0,
6473,638473-17,,P,,,,47,17,31,24.0,
6473,638473-72,,P,,,,71,72,75,24.0,
