severity,issue_type,key,details
WARN,BRICKOWL_BO_COLOR_ID_MISSING,2148stk01,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,2149stk01,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,2150stk01,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,2153stk01,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,2160stk01,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,2160stk02,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,2161stk01,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,2161stk02,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,2162stk01,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,2230c01pb01,id_lookup devolveu 0 BOIDs para bl_item_no=2230c01pb01
WARN,BRICKOWL_ID_LOOKUP_EMPTY,2230c01pb03,id_lookup devolveu 0 BOIDs para bl_item_no=2230c01pb03
WARN,BRICKOWL_BO_COLOR_ID_MISSING,2254stk01,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,2259stk01,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,2332c01,id_lookup devolveu 0 BOIDs para bl_item_no=2332c01
WARN,BRICKOWL_ID_LOOKUP_EMPTY,2332c02,id_lookup devolveu 0 BOIDs para bl_item_no=2332c02
WARN,BRICKOWL_ID_LOOKUP_EMPTY,2332c03,id_lookup devolveu 0 BOIDs para bl_item_no=2332c03
WARN,BRICKOWL_ID_LOOKUP_EMPTY,2332c04,id_lookup devolveu 0 BOIDs para bl_item_no=2332c04
WARN,BRICKOWL_ID_LOOKUP_EMPTY,2362,id_lookup devolveu 0 BOIDs para bl_item_no=2362
WARN,BRICKOWL_ID_LOOKUP_EMPTY,2362,id_lookup devolveu 0 BOIDs para bl_item_no=2362
WARN,BRICKOWL_ID_LOOKUP_EMPTY,2362,id_lookup devolveu 0 BOIDs para bl_item_no=2362
