bl_part_id,bl_color_id,boid
970c00,157,863328
970c00,150,863328
970c00,31,863328
970c00,28,863328
970c00,155,863328
970c00,4,863328
970c00,77,863328
970c00,115,863328
970c00,61,863328
970c00,5,863328
970c00,88,863328
970c00,55,863328
970c00,48,863328
970c00,58,863328
970c00,2,863328
970c00,43,863328
970c00,1,863328
970c00,3,863328
970c00pb0001,93,926032
970c00pb0001,24,926032
970c00pb0002,11,639594
970c00pb0005,11,933825
970c00pb0008,11,37840
970c00pb0009,11,256594
970c00pb0010,7,536065
970c00pb0012,11,152203
970c00pb0013,11,501908
970c00pb0014,11,933471
970c00pb0015,11,968444
970c00pb0017,11,213978
970c00pb0018,2,797611
970c00pb0019,5,172416
970c00pb0019,1,172416
970c00pb0020,1,489378
970c00pb0021,11,884660
970c00pb0022,10,260130
970c00pb0023,7,233725
970c00pb0023,8,233725
970c00pb0023,63,233725
970c00pb0023,88,233725
970c00pb0024,54,149682
970c00pb0025,5,549750
970c00pb0026,2,24471
970c00pb0027,9,353551
970c00pb0028,63,780832
970c00pb0030,63,49478
970c00pb0032,63,684959
970c00pb0033,63,688072
970c00pb0034,11,358419
970c00pb0035,11,703272
970c00pb0036,11,621897
970c00pb0037,11,449480
970c00pb0038,11,708121
970c00pb0039,1,658737
970c00pb0040,69,705075
970c00pb0041,1,244186
970c00pb0042,1,809941
970c00pb0043,115,177658
970c00pb0044,63,778385
970c00pb0045,85,54065
970c00pb0046,11,390636
970c00pb0047,11,575997
970c00pb0048,120,225481
970c00pb0049,1,879014
970c00pb0050,5,460657
970c00pb0051,86,484612
970c00pb0052,1,112740
970c00pb0053,2,609340
970c00pb0054,11,217126
970c00pb0055,11,661491
970c00pb0056,85,632812
970c00pb0056,88,632812
970c00pb0057,2,569677
970c00pb0058,1,442324
970c00pb0059,86,391739
970c00pb0060,1,923785
970c00pb0061,80,76698
970c00pb0062,11,306228
970c00pb0063,59,282204
970c00pb0064,48,778970
970c00pb0065,47,927126
970c00pb0066,1,730684
970c00pb0067,2,487091
970c00pb0068,7,585864
970c00pb0069,59,435760
970c00pb0070,150,730278
970c00pb0071,11,395805
970c00pb0072,4,641743
970c00pb0073,7,906936
970c00pb0074,86,174191
970c00pb0075,55,694809
970c00pb0076,1,297573
970c00pb0077,1,749188
970c00pb0078,2,919291
970c00pb0079,1,176587
970c00pb0080,59,209846
970c00pb0081,69,403903
970c00pb0082,11,288328
970c00pb0083,88,818186
970c00pb0084,1,620030
970c00pb0085,115,948819
970c00pb0086,1,450998
970c00pb0087,1,189708
970c00pb0088,7,391144
970c00pb0089,5,841737
970c00pb0090,1,806863
970c00pb0091,5,314929
970c00pb0092,11,917436
970c00pb0094,7,696406
970c00pb0095,11,40219
970c00pb0096,63,326818
970c00pb0097,69,183498
970c00pb0098,1,625083
970c00pb0099,63,761579
970c00pb0099,42,761579
970c00pb0100,69,912776
970c00pb0101,55,20889
970c00pb0102,11,403322
970c00pb0103,11,819713
970c00pb0104,11,194080
970c00pb0105,11,98132
970c00pb0106,88,117286
970c00pb0107,120,942269
970c00pb0108,11,17423
970c00pb0109,120,292874
970c00pb0110,1,152115
970c00pb0111,88,420327
970c00pb0112,88,580202
